"","Team","Game","Date","Home","Opponent","WINorLOSS","TeamPoints","OpponentPoints","FieldGoals","FieldGoalsAttempted","FieldGoals.","X3PointShots","X3PointShotsAttempted","X3PointShots.","FreeThrows","FreeThrowsAttempted","FreeThrows.","OffRebounds","TotalRebounds","Assists","Steals","Blocks","Turnovers","TotalFouls","Opp.FieldGoals","Opp.FieldGoalsAttempted","Opp.FieldGoals.","Opp.3PointShots","Opp.3PointShotsAttempted","Opp.3PointShots.","Opp.FreeThrows","Opp.FreeThrowsAttempted","Opp.FreeThrows.","Opp.OffRebounds","Opp.TotalRebounds","Opp.Assists","Opp.Steals","Opp.Blocks","Opp.Turnovers","Opp.TotalFouls"
"1","ATL","1",2014-10-29,"Away","TOR","L","102","109","40","80",".500","13","22",".591","9","17",".529","10","42","26","6","8","17","24","37","90",".411","8","26",".308","27","33",".818","16","48","26","13","9","9","22"
"2","ATL","2",2014-11-01,"Home","IND","W","102","92","35","69",".507","7","20",".350","25","33",".758","3","37","26","10","6","12","20","31","81",".383","12","32",".375","18","21",".857","11","44","25","5","5","18","26"
"3","ATL","3",2014-11-05,"Away","SAS","L","92","94","38","92",".413","8","25",".320","8","11",".727","10","37","26","14","5","13","25","31","69",".449","5","17",".294","27","38",".711","11","50","25","7","9","19","15"
"4","ATL","4",2014-11-07,"Away","CHO","L","119","122","43","93",".462","13","33",".394","20","26",".769","7","38","28","8","3","19","33","48","97",".495","6","21",".286","20","27",".741","11","51","31","6","7","19","30"
"5","ATL","5",2014-11-08,"Home","NYK","W","103","96","33","81",".407","9","22",".409","28","36",".778","12","41","18","10","5","8","17","40","84",".476","8","21",".381","8","11",".727","13","44","26","2","6","15","29"
"6","ATL","6",2014-11-10,"Away","NYK","W","91","85","27","71",".380","10","27",".370","27","28",".964","9","38","20","7","3","15","16","36","83",".434","6","26",".231","7","12",".583","11","40","23","4","2","15","26"
"7","ATL","7",2014-11-12,"Home","UTA","W","100","97","39","76",".513","9","20",".450","13","18",".722","13","46","23","8","4","18","12","43","86",".500","5","23",".217","6","12",".500","8","30","28","12","8","11","17"
"8","ATL","8",2014-11-14,"Home","MIA","W","114","103","42","75",".560","11","28",".393","19","23",".826","3","36","33","10","5","13","20","35","74",".473","10","21",".476","23","25",".920","5","32","27","10","3","14","20"
"9","ATL","9",2014-11-15,"Away","CLE","L","94","127","40","90",".444","3","22",".136","11","13",".846","11","37","26","6","8","18","12","49","90",".544","19","31",".613","10","13",".769","12","47","39","12","2","13","14"
"10","ATL","10",2014-11-18,"Home","LAL","L","109","114","41","85",".482","9","27",".333","18","23",".783","13","38","22","7","3","10","17","47","87",".540","6","17",".353","14","22",".636","13","44","24","7","0","11","24"
"11","ATL","11",2014-11-21,"Home","DET","W","99","89","38","80",".475","5","24",".208","18","26",".692","8","46","20","7","5","9","18","31","83",".373","4","21",".190","23","24",".958","13","45","12","6","3","12","20"
"12","ATL","12",2014-11-25,"Away","WAS","W","106","102","36","85",".424","7","25",".280","27","34",".794","12","43","17","16","6","10","23","36","84",".429","9","20",".450","21","29",".724","16","47","25","2","3","20","25"
"13","ATL","13",2014-11-26,"Home","TOR","L","115","126","42","82",".512","10","24",".417","21","24",".875","9","32","31","2","4","13","24","42","82",".512","14","29",".483","28","33",".848","11","36","24","7","7","11","24"
"14","ATL","14",2014-11-28,"Home","NOP","W","100","91","38","76",".500","5","17",".294","19","22",".864","11","42","26","6","7","18","14","36","89",".404","7","24",".292","12","16",".750","16","42","23","8","4","12","19"
"15","ATL","15",2014-11-29,"Home","CHO","W","105","75","40","75",".533","12","23",".522","13","16",".813","5","44","31","8","5","12","17","29","88",".330","5","23",".217","12","16",".750","13","38","20","3","4","12","16"
"16","ATL","16",2014-12-02,"Home","BOS","W","109","105","43","82",".524","11","24",".458","12","14",".857","4","31","36","8","8","16","14","41","84",".488","12","23",".522","11","13",".846","9","42","33","10","3","21","20"
"17","ATL","17",2014-12-03,"Away","MIA","W","112","102","40","74",".541","12","25",".480","20","23",".870","5","30","25","9","1","16","24","36","64",".563","6","16",".375","24","32",".750","4","30","25","10","5","18","24"
"18","ATL","18",2014-12-05,"Away","BRK","W","98","75","35","81",".432","13","34",".382","15","24",".625","6","46","22","12","4","10","22","30","80",".375","3","18",".167","12","19",".632","9","51","16","4","2","17","21"
"19","ATL","19",2014-12-07,"Home","DEN","W","96","84","36","87",".414","10","27",".370","14","19",".737","11","43","26","9","4","12","15","34","93",".366","6","35",".171","10","13",".769","16","52","25","9","4","14","22"
"20","ATL","20",2014-12-08,"Away","IND","W","108","92","40","77",".519","9","21",".429","19","27",".704","6","47","27","11","7","16","20","37","84",".440","9","27",".333","9","17",".529","8","42","23","6","2","17","22"
"21","ATL","21",2014-12-10,"Home","PHI","W","95","79","38","91",".418","10","30",".333","9","13",".692","16","52","26","15","1","14","16","30","72",".417","6","25",".240","13","22",".591","7","39","21","10","10","18","18"
"22","ATL","22",2014-12-12,"Home","ORL","W","87","81","29","78",".372","9","29",".310","20","27",".741","5","42","24","12","3","12","12","30","77",".390","9","26",".346","12","16",".750","9","46","14","3","4","18","27"
"23","ATL","23",2014-12-13,"Away","ORL","L","99","100","35","84",".417","8","27",".296","21","24",".875","9","41","24","4","4","10","19","37","74",".500","10","21",".476","16","21",".762","7","36","26","6","6","15","15"
"24","ATL","24",2014-12-15,"Home","CHI","W","93","86","36","83",".434","7","21",".333","14","17",".824","5","40","26","10","7","9","17","35","93",".376","6","29",".207","10","14",".714","15","57","18","3","6","14","17"
"25","ATL","25",2014-12-17,"Away","CLE","W","127","98","49","76",".645","16","28",".571","13","16",".813","6","40","36","3","5","9","17","37","82",".451","8","30",".267","16","21",".762","10","33","24","3","0","8","17"
"26","ATL","26",2014-12-20,"Away","HOU","W","104","97","38","74",".514","10","26",".385","18","24",".750","4","37","26","7","9","15","15","34","86",".395","15","43",".349","14","18",".778","15","43","27","8","4","16","25"
"27","ATL","27",2014-12-22,"Away","DAL","W","105","102","40","81",".494","7","19",".368","18","27",".667","6","43","26","6","6","17","21","39","90",".433","11","28",".393","13","20",".650","13","47","23","12","5","15","23"
"28","ATL","28",2014-12-23,"Home","LAC","W","107","104","34","76",".447","12","23",".522","27","35",".771","9","43","28","6","3","14","21","37","92",".402","11","29",".379","19","28",".679","16","51","26","10","5","10","23"
"29","ATL","29",2014-12-26,"Home","MIL","L","77","107","31","76",".408","4","23",".174","11","14",".786","8","38","20","8","4","22","19","40","79",".506","8","19",".421","19","23",".826","6","40","28","15","6","15","19"
"30","ATL","30",2014-12-27,"Away","MIL","W","90","85","33","90",".367","9","29",".310","15","19",".789","17","51","25","9","4","11","17","31","80",".388","12","30",".400","11","14",".786","13","47","21","5","10","19","18"
